# 虎航特別優惠驗證資料
# 2024/09/24


台北(桃園) 往,旅遊日期,開票日期,票價	
==================================
旭川,2024/06/01-2025/03/29,2024/03/31-2024/03/29,TWD 3299+
名古屋,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2399+
新潟,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2399+
茨城,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2799+
岡山,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2499+
澳門,2024/03/31-2024/10/26,2024/03/31-2024/10/26,TWD 1199+
富國,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 3299+
峴港,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 1799+
普吉,2024/05/21-2025/03/29,2024/03/31-2025/03/29,TWD 3299+
濟州,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 1999+
釜山,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 1699+
仁川,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 1699+
秋田,2024/03/31-2024/10/26,2024/03/31-2024/10/26,TWD 2699+
福島,2024/03/31-2024/10/26,2024/03/31-2024/10/26,TWD 2399+
沖繩,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 1799+
高知,2024/03/31-2024/10/26,2024/03/31-2024/10/26,TWD 3499+
佐賀,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2199+
福岡,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2199+
大阪,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 3299+
東京羽田,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2099+
東京成田,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 3299+
小松,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2399+
仙台,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2699+
花卷,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2699+
札幌,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 2899+
函館,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 3299+


高雄往,旅遊日期,開票日期,票價	
==================================
東京成田,2024/03/31-2025/03/29,2024/01/18,-,2025/03/29,TWD 3799+
名古屋,2024/03/31-2025/03/29,2024/01/18,-,2025/03/29,TWD 2399+
福岡,2024/03/31-2025/03/29,2024/01/18,-,2025/03/29,TWD 2199+
沖繩,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 1999+
首爾金浦,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 1699+
大阪,2024/03/31-2025/03/29,2024/03/31-2025/03/29,TWD 3799+
峴港,2024/03/31-2024/10/26,2024/03/31-2024/10/26,TWD 1799+
澳門,2024/03/31-2024/10/26,2024/03/31-2024/10/26,TWD 1199+


台中往,旅遊日期,開票日期,票價	
==================================
東京成田,2024/07/01-2024/08/31,2024/07/01-2024/08/31,TWD 2499+
釜山,2024/07/01-2024/08/31,2024/07/01-2024/08/31,TWD 1699+
名古屋,2024/07/01-2024/08/31,2024/07/01-2024/08/31,TWD 2399+
澳門,2024/03/31-2024/10/26,2024/03/31-2024/10/26,TWD 1199+

